"NRO_HOGAR";"RESPONDENTE";"IP_III_04";"IP_III_05";"IP_III_06";"CODUSU";"AGLOMERADO";"POND_TIC";"TRIMESTRE";"ANO4";"COMPONENTE"
1;1;1;1;1;"TQRMNORUQHKMLLCDEFIAH00665036";2;632;4;2020;2
1;1;1;1;1;"TQRMNORUQHKMLLCDEFIAH00665036";2;632;4;2020;3
1;1;1;2;1;"TQRMNOPVYHKMLMCDEFIAH00665037";2;642;4;2020;1
1;1;1;2;1;"TQRMNOPVYHKMLMCDEFIAH00665037";2;642;4;2020;2
1;1;1;2;1;"TQRMNOPVYHKMLMCDEFIAH00665037";2;642;4;2020;3
1;1;1;2;1;"TQRMNORPRHKMLMCDEFIAH00665038";2;642;4;2020;3
1;1;1;2;1;"TQRMNORPRHKMLMCDEFIAH00665038";2;642;4;2020;10
1;1;1;2;1;"TQRMNORPRHKMLMCDEFIAH00665038";2;642;4;2020;5
1;1;1;2;1;"TQRMNORPRHKMLMCDEFIAH00665038";2;642;4;2020;12
1;1;1;2;1;"TQRMNORPRHKMLMCDEFIAH00665038";2;642;4;2020;4
1;1;1;2;1;"TQRMNORPRHKMLMCDEFIAH00665038";2;642;4;2020;8
1;1;1;2;1;"TQRMNORPRHKMLMCDEFIAH00665038";2;642;4;2020;11
1;1;1;2;1;"TQRMNORPRHKMLMCDEFIAH00665038";2;642;4;2020;1
1;1;1;2;1;"TQRMNORPRHKMLMCDEFIAH00665038";2;642;4;2020;9
1;1;2;2;2;"TQRMNORPRHKMLMCDEFIAH00665038";2;642;4;2020;2
1;1;1;2;1;"TQRMNORPRHKMLMCDEFIAH00665038";2;642;4;2020;7
1;1;1;2;1;"TQRMNORPRHKMLMCDEFIAH00665038";2;642;4;2020;6
1;1;1;1;1;"TQRMNOPUQHJKKSCDEFIAH00664933";2;2030;4;2020;1
1;1;1;1;1;"TQRMNOPUUHJKKSCDEFIAH00664934";2;2030;4;2020;1
1;1;1;1;1;"TQRMNORPSHJKKSCDEFIAH00664935";2;2030;4;2020;1
1;1;1;1;1;"TQRMNOQWWHJKLMCDEFIAH00664936";2;1412;4;2020;1
1;1;1;1;1;"TQRMNOSUYHJKLMCDEFIAH00664937";2;1412;4;2020;1
1;1;1;1;1;"TQRMNOQYVHJLKRCDEFIAH00664938";2;1483;4;2020;1
1;2;1;2;1;"TQRMNORPPHJLKRCDEFIAH00664939";2;1483;4;2020;2
1;2;1;2;1;"TQRMNORPPHJLKRCDEFIAH00664939";2;1483;4;2020;1
1;1;1;2;1;"TQRMNOSYXHJLKRCDEFIAH00664940";2;1483;4;2020;1
1;1;1;2;2;"TQRMNOSYXHJLKRCDEFIAH00664940";2;1483;4;2020;3
1;1;1;2;1;"TQRMNOSYXHJLKRCDEFIAH00664940";2;1483;4;2020;2
1;1;1;1;1;"TQRMNOSYYHJLKRCDEFIAH00664941";2;1483;4;2020;2
1;1;1;1;1;"TQRMNOSYYHJLKRCDEFIAH00664941";2;1483;4;2020;1
1;1;1;2;1;"TQRMNORUYHJLKUCDEFIAH00664942";2;1247;4;2020;1
1;1;1;2;1;"TQRMNORVPHJLKUCDEFIAH00664943";2;1247;4;2020;1
1;1;1;2;1;"TQRMNORVPHJLKUCDEFIAH00664943";2;1247;4;2020;2
1;2;1;1;1;"TQRMNOQWWHJMKMCDEFIAH00664944";2;555;4;2020;3
1;2;1;1;1;"TQRMNOQWWHJMKMCDEFIAH00664944";2;555;4;2020;2
